MCMC round,"pr-(Sc,Sf)","pr-((Sc,Sf),Sb)","pr-(((Sc,Sf),Sb),Sa)","pr-(((Sc,Sf),Sb),Sa),Pg","ls-(Sc,Sf)","ls-((Sc,Sf),Sb)","ls-(((Sc,Sf),Sb),Sa)","gn-(Sc,Sf)","gn-((Sc,Sf),Sb)","gn-(((Sc,Sf),Sb),Sa)",log-likelihood,"lsrate-(Sc,Sf)","lsrate-((Sc,Sf),Sb)","lsrate-(((Sc,Sf),Sb),Sa)","gnrate-(Sc,Sf)","gnrate-((Sc,Sf),Sb)","gnrate-(((Sc,Sf),Sb),Sa)"
42,2793.437176,2781.124253,2724.346945,1407.770582,45.37705114,659.8571487,1686.036164,33.06412783,603.0798403,369.4598013,-13560.21134,0.01194545718,0.25258075,0.3145448416,0.001359953515,0.02241123968,0.05766208462
43,2848.838818,2834.083825,2817.889142,1442.710538,44.11678127,684.5220689,1768.665349,29.36178804,668.3273859,393.4867453,-13510.0863,0.01040208413,0.2738062182,0.3292938344,0.001269735775,0.02234793838,0.05794488398
44,2796.053861,2787.891063,2793.410255,1432.143205,35.25431126,610.8204946,1722.351123,27.09151294,616.3396868,361.0840733,-13351.99441,0.009784799584,0.2516796975,0.3001144258,0.001032837522,0.0201494119,0.05683584758
45,2815.459764,2785.326456,2719.050035,1412.300122,71.23644099,581.1629662,1678.473183,41.10313294,514.8865451,371.7232699,-13499.78824,0.01486332531,0.2114337074,0.3155366256,0.002138529365,0.01944703635,0.05785624948
46,2699.951098,2671.572517,2617.961524,1371.977151,51.16026612,567.5488793,1611.395945,22.78168512,513.937886,365.4115722,-13326.68286,0.008574635627,0.2202205044,0.319154489,0.001526323393,0.01891550212,0.05524445686
47,2769.159168,2756.007111,2674.631247,1392.803281,33.29150328,624.3618387,1653.970836,20.13944658,542.985975,372.1428695,-13491.30359,0.007335894535,0.2285496889,0.3205424746,9.92E-04,0.02093124131,0.05679748826
48,2807.251373,2802.385921,2663.746506,1447.44725,30.95814533,643.6685409,1584.687593,26.0926929,505.029126,368.3883369,-13451.2069,0.009305265117,0.2122358655,0.3015787174,8.08E-04,0.01803414803,0.04548481966
49,2785.223905,2792.346656,2630.921301,1405.412335,21.98006352,617.337098,1578.573198,29.10281403,455.9117437,353.0642316,-13653.41004,0.01046638551,0.1922475224,0.2978733634,6.34E-04,0.0191669712,0.0505027811
50,2821.127504,2807.762018,2574.008955,1383.622056,41.36015589,655.5431354,1563.746099,27.99466971,421.7900722,373.3592005,-13443.0526,0.01002373234,0.1818820806,0.3235631363,0.001220175513,0.02109902823,0.05286610691
51,2823.720522,2821.981566,2703.525277,1410.572492,31.05701022,631.9277744,1657.216554,29.31805372,513.4714855,364.2637694,-13597.53591,0.01044385494,0.2120808692,0.3078966393,9.27E-04,0.0209639999,0.05641129045
52,2847.021519,2837.697868,2678.005727,1409.478177,44.80969439,656.2990061,1638.266793,35.48604302,496.6068651,369.7392434,-13728.45878,0.01259037875,0.2068646409,0.313561723,0.001334106689,0.02161004001,0.05562163819
53,2760.974389,2735.242812,2542.718738,1376.023259,54.15758816,639.2893812,1524.469843,28.42601124,446.7653078,357.7743637,-13511.58042,0.01046149552,0.195868483,0.3099352011,0.001579080655,0.02024552799,0.04996545056
54,2787.697015,2779.143955,2666.839661,1388.640807,40.93797554,623.8711666,1657.393751,32.38491514,511.5668729,379.1948973,-13589.40377,0.01171359262,0.2149027841,0.3294681347,0.001232096027,0.02103141138,0.05783876877
55,2849.272877,2831.163374,2700.764352,1419.955387,53.41547706,633.9244851,1640.017057,35.30597413,503.5254627,359.2080918,-13560.61863,0.01256843511,0.2086310438,0.3008224377,0.001577942215,0.02071272019,0.05479635165
56,2815.791451,2812.785195,2614.982003,1399.607469,42.73290343,622.2147767,1566.363284,39.72664744,424.4115847,350.9887509,-13624.06514,0.01423569721,0.1799677618,0.2974443076,0.001268465778,0.02006931481,0.05234421758
57,2815.630749,2801.814859,2653.957165,1401.09909,55.95289451,627.9178788,1620.621333,42.13700375,480.0601847,367.7632588,-13605.58079,0.01517026077,0.2019970758,0.3139578273,0.001666042542,0.0205865366,0.05491468198
58,2820.810799,2795.370303,2746.79978,1409.874418,49.80006301,630.7690018,1706.986003,24.35956711,582.198479,370.0606406,-13621.9938,0.008761224092,0.2403121509,0.3148227382,0.001507244036,0.02170513495,0.05953503843
59,2756.691365,2734.276255,2648.216107,1388.276259,44.23514486,605.7171265,1610.585902,21.82003489,519.6569783,350.6460545,-13564.92861,0.00802586414,0.220294035,0.2998432566,0.001331915511,0.0204078523,0.0552778891
